indicator_code,area,eligible_n,moderate_threshold,extreme_threshold,absolute_moderate_threshold,absolute_extreme_threshold,fallback_to_global,version
PRODUCTION_INCITES,"ENGINEERING, ENVIRONMENTAL",64,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"ENGINEERING, GEOLOGICAL",51,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"ENGINEERING, INDUSTRIAL",51,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"ENGINEERING, MANUFACTURING",44,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"ENGINEERING, MARINE",23,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"ENGINEERING, MECHANICAL",141,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,"ENGINEERING, MULTIDISCIPLINARY",123,4.652671755725184,8.64980392156863,,,0,0.8
PRODUCTION_INCITES,"ENGINEERING, OCEAN",13,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"ENGINEERING, PETROLEUM",17,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,ENTOMOLOGY,62,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,ENVIRONMENTAL SCIENCES,293,3.6676532769556003,7.403349950149541,,,0,0.8
PRODUCTION_INCITES,ENVIRONMENTAL STUDIES,117,2.949889937106918,6.038297872340427,,,0,0.8
PRODUCTION_INCITES,ERGONOMICS,13,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,ETHICS,27,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,ETHNIC STUDIES,19,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,EVOLUTIONARY BIOLOGY,29,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,FAMILY STUDIES,38,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"FILM, RADIO, TELEVISION",14,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,FISHERIES,39,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,FOLKLORE,6,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,FOOD SCIENCE & TECHNOLOGY,128,3.3862364676714547,5.520874635568515,,,0,0.8
PRODUCTION_INCITES,FORESTRY,39,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,GASTROENTEROLOGY & HEPATOLOGY,122,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,GENETICS & HEREDITY,129,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,GEOCHEMISTRY & GEOPHYSICS,65,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,GEOGRAPHY,81,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"GEOGRAPHY, PHYSICAL",37,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,GEOLOGY,25,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"GEOSCIENCES, MULTIDISCIPLINARY",166,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,GERIATRICS & GERONTOLOGY,67,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,GERONTOLOGY,33,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,81,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,HEALTH CARE SCIENCES & SERVICES,140,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,HEALTH POLICY & SERVICES,79,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,HEMATOLOGY,80,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,HISTORY,177,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,HISTORY & PHILOSOPHY OF SCIENCE,35,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,HISTORY OF SOCIAL SCIENCES,17,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,HORTICULTURE,23,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"HOSPITALITY, LEISURE, SPORT & TOURISM",61,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"HUMANITIES, MULTIDISCIPLINARY",101,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,30,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,IMMUNOLOGY,137,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,INDUSTRIAL RELATIONS & LABOR,16,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,INFECTIOUS DISEASES,107,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,INFORMATION SCIENCE & LIBRARY SCIENCE,67,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,INSTRUMENTS & INSTRUMENTATION,66,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,INTEGRATIVE & COMPLEMENTARY MEDICINE,31,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,INTERNATIONAL RELATIONS,54,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,LANGUAGE & LINGUISTICS,103,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,LAW,87,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,LIMNOLOGY,13,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,LINGUISTICS,84,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,LITERARY REVIEWS,35,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,LITERARY THEORY & CRITICISM,7,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,LITERATURE,45,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",1,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"LITERATURE, AMERICAN",4,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"LITERATURE, BRITISH ISLES",5,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",6,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"LITERATURE, ROMANCE",29,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"LITERATURE, SLAVIC",6,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,LOGIC,6,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MANAGEMENT,173,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,MARINE & FRESHWATER BIOLOGY,65,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, BIOMATERIALS",39,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, CERAMICS",22,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",23,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, COATINGS & FILMS",17,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, COMPOSITES",21,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, MULTIDISCIPLINARY",357,2.949889937106918,6.284577343300742,,,0,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, PAPER & WOOD",13,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MATERIALS SCIENCE, TEXTILES",18,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MATHEMATICAL & COMPUTATIONAL BIOLOGY,40,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MATHEMATICS,237,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,"MATHEMATICS, APPLIED",217,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",95,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MECHANICS,125,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,MEDICAL ETHICS,11,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MEDICAL INFORMATICS,43,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MEDICAL LABORATORY TECHNOLOGY,25,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MEDICINE, GENERAL & INTERNAL",253,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,"MEDICINE, LEGAL",20,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,"MEDICINE, RESEARCH & EXPERIMENTAL",141,3.3072625698324023,7.1178609625668345,,,0,0.8
PRODUCTION_INCITES,MEDIEVAL & RENAISSANCE STUDIES,17,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,METALLURGY & METALLURGICAL ENGINEERING,73,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,METEOROLOGY & ATMOSPHERIC SCIENCES,80,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MICROBIOLOGY,127,2.949889937106918,5.120226752175911,,,0,0.8
PRODUCTION_INCITES,MICROSCOPY,7,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MINERALOGY,17,2.949889937106918,5.120226752175911,,,1,0.8
PRODUCTION_INCITES,MINING & MINERAL PROCESSING,23,2.949889937106918,5.120226752175911,,,1,0.8
